Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
5.723771572113037	0	-293.0804040983542	-15.098858150999224	44.9174920222615	-169.51049855229772	-438.798178577749	20.0	0.0	252	10080	-295.87803170528144	-14.981397058051781
10.88706922531128	1	-292.70288808854446	-14.973525109280217	48.90818341502239	-145.4930791869494	-426.2369995061602	20.0	0.0	252	20160	-272.82966859794254	-13.819486647289215
15.362409353256226	2	-293.3480332304516	-15.264534220877914	46.90426849837859	-160.2671961514671	-430.93858817514433	20.0	0.0	252	30240	-296.19064793244945	-15.288836336164733
19.955730438232422	3	-288.3583095424354	-14.741135744157196	49.928228110185515	-158.7937674834888	-441.9100052612723	20.0	0.0	252	40320	-280.25612005081274	-14.102536257554739
23.824896812438965	4	-284.80598538291576	-14.466460376445474	50.60170408369918	-101.45628855754958	-443.8833995598164	20.0	0.0	252	50400	-284.2694561648397	-14.768229211388233
27.866275787353516	5	-283.7310758587297	-14.20468035370648	49.86483907020442	-130.03957131118025	-444.8072294027563	20.0	0.0	252	60480	-276.0004606528801	-13.25316555020671
32.26206135749817	6	-282.0255103092987	-14.019085276074447	49.50472977372846	-121.08369752676856	-429.8037894612446	20.0	0.0	252	70560	-275.47989848048815	-13.486103912827637
36.4164776802063	7	-277.38434572382465	-13.765677576705075	49.210386194499414	-122.18178344448148	-400.01481635470645	20.0	0.0	252	80640	-273.70383917244436	-14.068722573484257
40.428131341934204	8	-274.4025049025526	-13.31372435718361	45.864732360770645	-107.28587809337662	-416.3484097949746	20.0	0.0	252	90720	-260.6641414312208	-12.442972162861752
44.34955906867981	9	-264.2102837688815	-12.548053718824985	48.95889084502472	-136.98744155782433	-425.49651639215386	20.0	0.0	252	100800	-262.1794086818016	-12.688744004889381
48.40747594833374	10	-258.5841177981252	-11.917891609360227	46.776992840115966	-132.82387334154095	-383.7597230671901	20.0	0.0	252	110880	-247.25026959941897	-11.004269173770416
52.63280510902405	11	-249.3317889160661	-11.329980506016385	49.4704886379561	-109.04881704651801	-374.42965966279803	20.0	0.0	252	120960	-235.39048013647803	-10.484415563508954
56.7425434589386	12	-244.80310519299525	-10.699764527056372	48.33312143587778	-127.82251861509963	-430.7770255164277	20.0	0.0	252	131040	-236.93000491009752	-10.274663347936732
61.3012330532074	13	-236.18973162208889	-10.158450598221314	47.774729855557176	-108.4021866427889	-383.8969350664158	20.0	0.0	252	141120	-227.61046238883114	-9.271741661747884
65.95266938209534	14	-228.55469316568707	-9.388843478676879	48.425525783280946	-114.64065503063465	-389.75726282242607	20.0	0.0	252	151200	-210.83656119946863	-8.285322809340286
70.13079047203064	15	-213.80038988412616	-8.367063733304756	45.954198356066684	-109.42529217677667	-373.16869702239416	20.0	0.0	252	161280	-199.62882348374282	-7.389635812629604
75.01873302459717	16	-202.99488767310703	-7.505826681747902	45.46317368377857	-91.68644750744575	-403.45078855413493	20.0	0.0	252	171360	-188.69464969017443	-6.446287406063046
79.32265400886536	17	-193.13725432828923	-7.140646727689227	43.928488585848996	-95.83657094327938	-351.3933775598114	20.0	0.0	252	181440	-184.4677508669822	-6.546580792809775
83.58444452285767	18	-179.71705202900583	-6.173262131613662	37.05147144911873	-94.53481821190329	-305.79268731132936	20.0	0.0	252	191520	-174.0281810790933	-5.952152004010185
87.72485303878784	19	-176.8488568929993	-6.037887758572535	36.2363885306028	-97.20423603469405	-339.1323821698849	20.0	0.0	252	201600	-170.63525637529688	-5.260232908758483
91.96987700462341	20	-167.67303283308334	-5.462847253066161	35.51187111378583	-88.70571986118875	-301.82845329953716	20.0	0.0	252	211680	-154.20571482106857	-5.209250621585734
96.95541429519653	21	-162.24366234023063	-5.118415706288418	37.95524107213524	-88.13172751875648	-323.3453769979476	20.0	0.0	252	221760	-156.5602157663514	-4.945460875103983
101.07136750221252	22	-154.82314980618176	-4.901000437167683	33.871430866741065	-75.66532514394473	-292.2092849308729	20.0	0.0	252	231840	-144.13542161160385	-4.95709273410585
105.39448189735413	23	-146.22030596409056	-4.3997180512662055	30.232703908071187	-79.25301680758992	-278.10324578920836	20.0	0.0	252	241920	-139.3315492424163	-4.127940445574294
109.40530681610107	24	-139.6615976013189	-4.152205584970443	32.04914893658092	-71.84847315890332	-310.13407491203657	20.0	0.0	252	252000	-137.5506909617658	-3.7329636433948536
113.58715987205505	25	-134.8723695341939	-3.936431239449701	31.077596837452624	-73.25173037073586	-265.13805107959894	20.0	0.0	252	262080	-131.09264698579742	-3.6810988455277402
117.74419331550598	26	-128.5210929545298	-3.542325125439549	28.174737619392562	-68.61951670335866	-251.4277982494991	20.0	0.0	252	272160	-123.44749765640547	-3.136459636662678
121.8680670261383	27	-121.03970451273557	-3.425209035048339	26.35523143457288	-76.20980768565688	-258.8537517980001	20.0	0.0	252	282240	-121.49833632505215	-3.290144062531938
125.94352388381958	28	-116.73865019037612	-3.1580607805847847	23.28392320205655	-53.87682038854718	-208.10387418357624	20.0	0.0	252	292320	-112.41428568051204	-2.9860664507564265
130.65163683891296	29	-113.30977197460076	-3.0865955444294126	24.584980722541196	-66.05745754334494	-220.63071627554226	20.0	0.0	252	302400	-107.14308686428207	-2.96173632080183
135.18259835243225	30	-108.36923438479998	-2.8250808491863446	23.866013023516054	-64.98339332751245	-327.78463424622026	20.0	0.0	252	312480	-107.47445028608341	-2.8691195912751333
