,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-165.66969931254957,31.281614262570496,-209.9942534789237,-97.3837262978049,,
1,0,0.6987551921766769,29.493984730805735,-48.86481149867458,50.43757650372736,1.0622451305389404,0.026710350066423416
2,1,106.12126462966141,19.167977372794944,79.30177997753518,141.70831110282245,0.04380486160516739,0.021071845665574074
3,2,158.06739756410852,24.11372313834145,113.69935568005923,204.34440609416515,0.025459259748458862,0.012860183604061604
4,3,174.36674983141341,26.5832729642239,121.62135213061742,213.67891996504696,0.01275058276951313,0.014190137386322021
5,4,202.94561600388573,43.790943904746854,111.81357833512016,295.16576477281865,0.01228549238294363,0.011144755408167839
6,5,241.1336987222203,21.594141098737946,210.2885380107759,265.77900983619674,0.010760542936623096,0.007599147967994213
7,6,307.75198836417576,54.58177579030215,223.36536269833465,386.1846187181318,0.011744648218154907,0.007305343635380268
8,7,252.01062461030693,51.00612159790447,138.0874324936227,307.82177100948667,0.008036406710743904,0.012302717193961143
9,8,297.3574320666312,46.736335593747306,243.80456587991202,379.8947634506562,0.008306902833282948,0.0073686749674379826
10,9,283.3429264477944,26.40519825674546,245.38811822870497,329.06702227373006,0.006392388138920069,0.007376286666840315
11,10,357.9542944433744,27.533319610745508,306.36738905447237,412.6025165950504,0.006027123890817165,0.00539193581789732
