,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-144.7352494730078,35.91632741585665,-204.25490616012056,-89.08166138542819,,
1,0,14.831279004846959,27.64022449527642,-27.24808483231147,68.68685919291175,1.0345102548599243,0.025746898725628853
2,1,101.81085357366183,24.988936270848793,58.40224457134039,138.569906528731,0.03450753539800644,0.021527355536818504
3,2,168.87985638094548,37.2505449071012,96.09439960152005,225.01714227059307,0.024465292692184448,0.016160666942596436
4,3,210.87978244435052,27.84755796463933,162.63233908314913,262.0341471755729,0.02085641212761402,0.005493144504725933
5,4,260.1726123371355,36.69597313330344,215.05140870849044,341.91099264808963,0.012285133823752403,0.009925410151481628
6,5,289.0233628178251,57.053259072896815,223.3822910687626,412.2919652919877,0.010675860568881035,0.009924544021487236
7,6,280.6156385472532,26.2033304750855,233.94241827584906,336.0311918614774,0.009461693465709686,0.008271108381450176
8,7,265.591220526254,39.17229045069273,206.56413640782432,340.61277168147654,0.007448314223438501,0.007754407823085785
9,8,297.3530382492412,52.24681332689043,214.4653475155029,365.13061588883716,0.005786243360489607,0.007413516752421856
10,9,274.7313448539708,27.984681267814395,227.66843707152526,326.65057497403006,0.0076757436618208885,0.004789607133716345
11,10,324.04654159800026,26.152396366516474,279.8372612977992,359.4975718291401,0.00681628892198205,0.005579952150583267
