,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-157.19775009254596,34.18263493541813,-227.7607207420676,-98.8633037890976,,
1,0,-63.20615897386593,20.11792756886176,-94.57928043909511,-31.7441316410385,1.0083796977996826,0.026564408093690872
2,1,1.7448287976567525,17.594266456561456,-34.62849556851024,23.80671154818783,0.038980353623628616,0.019792737439274788
3,2,31.81364083882155,21.298945350650847,-11.858086383526745,72.63539314659464,0.01716843619942665,0.014659232459962368
4,3,69.90413557889657,31.24794291602374,25.707030130764956,125.9534717813878,0.013782346621155739,0.009846232831478119
5,4,70.14994754878464,28.344921980692522,18.47444374311071,103.76166195035334,0.0108858747407794,0.006687499582767487
6,5,92.21143651560716,37.97637012172992,43.51527215242394,170.52074910864786,0.007966701872646809,0.00840107724070549
7,6,88.32115051721978,24.565488178734032,52.262258416766876,128.3675551346608,0.0063931746408343315,0.005956848617643118
8,7,88.81279612241447,25.667298587900177,38.99412591395257,123.08177980248922,0.005394923035055399,0.005311938468366861
9,8,118.91329843502524,34.56389130677752,79.45672559548595,178.81719936294957,0.004309949465095997,0.0044083124957978725
10,9,84.69883664932908,18.601151269395913,40.519852823820585,105.82138602316486,0.006116888485848904,0.0046952394768595695
11,10,115.75342561441796,32.742193838828875,55.4699526767789,179.2312080700029,0.0042366040870547295,0.0042493934743106365
