,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-154.86043260771194,27.193931600930025,-193.75295544471658,-95.0759132221584,,
1,0,-7.529587105959374,36.367848824938044,-66.65265280617615,50.137399303785344,1.0736147165298462,0.026063600555062294
2,1,90.18978284289642,18.657893711606377,64.43574139229574,118.29764360948711,0.03461040183901787,0.018082480877637863
3,2,160.77249944159112,30.399370140156318,102.44556840189637,205.67580101733665,0.022569412365555763,0.011740343645215034
4,3,247.75788501381152,38.43104650417138,204.2193212951195,314.39809287046705,0.014452047646045685,0.009550167247653008
5,4,275.70275902394235,31.71981101146462,209.02434487794005,320.69134511639425,0.012616777792572975,0.010884864255785942
6,5,238.39537228456464,50.72417717475797,143.14640306639598,300.72062775561045,0.009434077888727188,0.008089937269687653
7,6,305.2578646407833,34.62332845557748,271.8240551937787,385.96346173934984,0.008642658591270447,0.006992884911596775
8,7,298.550081322297,42.082725462428414,230.96597912315448,379.09988781535037,0.00859040766954422,0.008758001029491425
9,8,328.321467228022,40.925182597745426,263.7161610766741,383.07709372823564,0.00695181917399168,0.005962311290204525
10,9,356.66720985833126,34.117746235402876,297.63179697867196,420.2820467862117,0.006845450960099697,0.0059582688845694065
11,10,369.80180127340935,42.79920316738593,294.1462115738748,432.04599372471296,0.005237956065684557,0.006108577828854322
