,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-161.9380533842827,37.96043834342674,-214.208562832213,-78.35349461943633,,
1,0,45.75567946517699,36.132755344390475,-2.85591130004892,126.55188659463069,0.9980034828186035,0.025655271485447884
2,1,143.1287696903293,31.69246661005183,97.39580425061334,196.57442908080463,0.04683712124824524,0.02036711946129799
3,2,152.67437983913936,33.406762463005634,115.22791492159146,220.89201406587355,0.02420268952846527,0.0136011503636837
4,3,192.0647161213768,30.605440097775872,146.63972839284133,256.6920961226366,0.017883336171507835,0.014784319326281548
5,4,228.4867781925631,39.245997550969044,134.26498779803083,279.6919527435697,0.017130210995674133,0.00879129208624363
6,5,274.70234972129913,48.8690533666665,183.13508119426106,365.28363035263305,0.010148195549845695,0.005961918737739325
7,6,269.570608831752,41.47932799015431,180.2407432558873,311.1479590140706,0.008892768993973732,0.005710506346076727
8,7,322.83512434233796,36.24430892823187,287.8712683010032,404.59754689012277,0.008256964385509491,0.006054883822798729
9,8,357.3800132613507,47.955090037691306,299.61012037972,449.96208117501476,0.009324615821242332,0.007189502939581871
10,9,316.564159350297,44.990072947174276,258.213109178148,404.9551029149562,0.007234454154968262,0.005248267203569412
11,10,310.48740429866496,41.762861984124676,237.14851590732036,356.9924628655767,0.006151220761239529,0.005523971281945705
