Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	106.44813752174377	1000	2000	-1.028425471874841	-1.028425471874841	2	2000
1	112.57581853866577	1000	3000	-1.028425471874841	-205.68920372640898	3	3000
2	118.68163228034973	1000	4000	-1.028425471874841	-307.27466148194617	4	4000
3	124.79002857208252	1000	5000	-1.028425471874841	-280.43692850324356	5	5000
4	130.8834731578827	1000	6000	-1.028425471874841	-164.7617566811121	6	6000
5	137.0747263431549	1000	7000	-1.028425471874841	-238.18647814432595	7	7000
6	143.2504324913025	1000	8000	-1.028425471874841	-256.0930777814492	8	8000
7	149.45871925354004	1000	9000	-1.028425471874841	-230.6391971165694	9	9000
8	155.66693663597107	1000	10000	-1.028425471874841	-295.8498742761655	10	10000
9	161.79948663711548	1000	11000	-1.028425471874841	-165.19403894607106	11	11000
10	167.9439980983734	1000	12000	31.489112754519695	31.489112754519695	12	12000
11	174.06805062294006	1000	13000	31.489112754519695	5.119567298422391	13	13000
12	180.18866848945618	1000	14000	31.489112754519695	-10.677856167708434	14	14000
13	186.32811903953552	1000	15000	31.489112754519695	-27.886817704954264	15	15000
14	192.4478759765625	1000	16000	31.489112754519695	-46.34159571178328	16	16000
15	198.57352352142334	1000	17000	46.835425433991595	46.835425433991595	17	17000
16	204.6966850757599	1000	18000	46.835425433991595	-51.7995904695642	18	18000
17	210.81800246238708	1000	19000	46.835425433991595	-45.20469184731838	19	19000
18	216.9701166152954	1000	20000	46.835425433991595	25.404095579091035	20	20000
19	223.09766817092896	1000	21000	46.835425433991595	-56.42781238836879	21	21000
20	229.212749004364	1000	22000	334.7114784518423	334.7114784518423	22	22000
21	235.3389801979065	1000	23000	334.7114784518423	-30.15264315671665	23	23000
22	241.46374893188477	1000	24000	334.7114784518423	81.01835113280873	24	24000
23	247.59640860557556	1000	25000	334.7114784518423	100.24357704263224	25	25000
24	253.71430563926697	1000	26000	334.7114784518423	117.12289289372207	26	26000
25	259.83559012413025	1000	27000	334.7114784518423	-109.49330805450543	27	27000
26	265.9536235332489	1000	28000	689.3818273641646	689.3818273641646	28	28000
27	272.07835936546326	1000	29000	689.3818273641646	316.8104721718764	29	29000
28	278.21242785453796	1000	30000	894.5554772421378	894.5554772421378	30	30000
29	284.3336126804352	1000	31000	894.5554772421378	529.3313306333013	31	31000
30	290.4613859653473	1000	32000	894.5554772421378	715.7246690133654	32	32000
31	296.5822949409485	1000	33000	921.8748567662901	921.8748567662901	33	33000
32	302.7104151248932	1000	34000	975.2398002263307	975.2398002263307	34	34000
33	308.84405636787415	1000	35000	975.2398002263307	602.9639404820213	35	35000
34	314.96425104141235	1000	36000	1184.393673113902	1184.393673113902	36	36000
35	321.1037802696228	1000	37000	1397.944599575869	1397.944599575869	37	37000
36	327.2479887008667	1000	38000	1397.944599575869	1035.3607738134533	38	38000
37	333.3884379863739	1000	39000	1397.944599575869	426.19610242220097	39	39000
38	339.50751876831055	1000	40000	1413.6433162312096	1413.6433162312096	40	40000
39	345.6496675014496	1000	41000	1476.0500185785183	1476.0500185785183	41	41000
40	351.775027513504	1000	42000	1476.0500185785183	498.02717267184346	42	42000
41	357.9048562049866	1000	43000	1598.2352176896225	1598.2352176896225	43	43000
42	364.0245587825775	1000	44000	1598.2352176896225	560.2804225632707	44	44000
43	370.1636755466461	1000	45000	1598.2352176896225	1586.503606631829	45	45000
44	376.2857813835144	1000	46000	1845.4431647784772	1845.4431647784772	46	46000
45	382.41473627090454	1000	47000	1945.4224552727005	1945.4224552727005	47	47000
46	388.5350217819214	1000	48000	1945.4224552727005	1700.3139200390847	48	48000
47	394.66588592529297	1000	49000	1980.1771737260542	1980.1771737260542	49	49000
48	400.788361787796	1000	50000	1980.1771737260542	1913.3752514779203	50	50000
49	406.89966225624084	1000	51000	1980.1771737260542	1197.1396661381693	51	51000
50	413.0309188365936	1000	52000	2353.6051411050285	2353.6051411050285	52	52000
51	419.1680233478546	1000	53000	2353.6051411050285	2352.7579410654944	53	53000
52	425.29572224617004	1000	54000	2353.6051411050285	2260.9278482191007	54	54000
53	431.4335594177246	1000	55000	2353.6051411050285	2352.7741168565103	55	55000
54	437.56437134742737	1000	56000	2483.54947068472	2483.54947068472	56	56000
55	443.7024395465851	1000	57000	2483.54947068472	2307.4827086988	57	57000
56	449.84203147888184	1000	58000	2512.7676240451933	2512.7676240451933	58	58000
57	455.984468460083	1000	59000	2628.1653622679733	2628.1653622679733	59	59000
58	462.10732769966125	1000	60000	2628.1653622679733	2435.9388728707977	60	60000
59	468.2461955547333	1000	61000	2702.505178541042	2702.505178541042	61	61000
60	474.36810755729675	1000	62000	2702.505178541042	2448.9531468083915	62	62000
61	480.49915075302124	1000	63000	2702.505178541042	2374.754426512263	63	63000
62	486.62083077430725	1000	64000	2823.3906006090474	2823.3906006090474	64	64000
63	492.7446210384369	1000	65000	2823.3906006090474	1934.7244170896333	65	65000
64	498.8742218017578	1000	66000	2823.3906006090474	604.3804116779179	66	66000
65	505.01509857177734	1000	67000	3094.5960984260423	3094.5960984260423	67	67000
66	511.1347870826721	1000	68000	3094.5960984260423	2843.118966713221	68	68000
67	517.2648057937622	1000	69000	3094.5960984260423	2682.170798478688	69	69000
68	523.3756573200226	1000	70000	3094.5960984260423	3059.096441265495	70	70000
69	529.5186400413513	1000	71000	3373.7570876860136	3373.7570876860136	71	71000
70	535.6598353385925	1000	72000	3373.7570876860136	2877.6263930959444	72	72000
71	541.7899377346039	1000	73000	3373.7570876860136	3132.0669977274	73	73000
72	547.9221515655518	1000	74000	3373.7570876860136	2927.712052539887	74	74000
73	554.0589778423309	1000	75000	3373.7570876860136	3138.8404109968756	75	75000
