Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
696.0364174842834	24	-15.913223	15.536442	25.391699	-66.39245	151.0	0.0	-0.10538558	-0.10538558	-0.10538271	-0.10538271	-0.6927489	0.007842767	0.00047510627	0.00012881884	0.69279635	30049	751225
722.1502885818481	25	-17.22809	16.727076	27.150997	-70.168	151.0	0.0	-0.114093326	-0.114093326	-0.114095055	-0.114095055	-0.6931759	0.00055081694	2.3332228e-05	5.0919753e-06	0.6931782	30049	781274
748.2677955627441	26	-12.735728	15.096446	35.903694	-54.82869	151.0	0.0	-0.08434256	-0.08434256	-0.08434295	-0.08434295	-0.6924176	0.01002277	0.00054823596	0.00032714478	0.69247246	30049	811323
774.3246302604675	27	-8.566713	13.554151	34.075294	-60.37241	151.0	0.0	-0.0567332	-0.0567332	-0.05673661	-0.05673661	-0.69321537	0.0024839137	3.6887723e-05	1.5038373e-05	0.69321907	30049	841372
800.4181590080261	28	-6.507144	12.69851	26.719574	-43.968437	151.0	0.0	-0.043093674	-0.043093674	-0.043095637	-0.043095637	-0.69314885	0.0015128311	2.7708733e-05	6.451933e-06	0.6931516	30049	871421
826.522087097168	29	-6.293371	12.66593	29.754562	-50.089718	151.0	0.0	-0.04167796	-0.04167796	-0.04167921	-0.04167921	-0.6934164	0.0038218796	5.53617e-05	1.8045099e-05	0.69342196	30049	901470
852.6536817550659	30	-4.1112967	12.597339	33.165283	-42.13827	151.0	0.0	-0.027227132	-0.027227132	-0.027227571	-0.027227571	-0.6931567	0.0003959876	1.9485451e-05	6.0982125e-06	0.6931586	30049	931519
878.8404309749603	31	-3.764809	11.210874	22.288391	-37.874947	151.0	0.0	-0.02493251	-0.02493251	-0.024932377	-0.024932377	-0.6931472	0.00061953807	3.58911e-05	1.4250103e-05	0.6931508	30049	961568
904.9471871852875	32	-0.28921613	12.5114355	31.269718	-33.632122	151.0	0.0	-0.0019153382	-0.0019153382	-0.0019225518	-0.0019225518	-0.6931587	0.005113824	4.7527e-05	1.9678242e-05	0.69316334	30049	991617
931.0747182369232	33	2.720462	14.158033	39.474686	-52.3938	151.0	0.0	0.018016305	0.018016305	0.01801682	0.01801682	-0.6931472	0.00031876386	5.981569e-07	1.1451198e-07	0.6931473	30049	1021666
957.2163822650909	34	8.852351	14.18647	43.173817	-33.295822	151.0	0.0	0.05862485	0.05862485	0.05861014	0.05861014	-0.69318354	0.008525196	3.3256777e-07	1.1524016e-08	0.6931836	30049	1051715
983.3904230594635	35	11.432754	14.4651575	47.993633	-34.766045	151.0	0.0	0.07571359	0.07571359	0.075713366	0.075713366	-0.6931472	0.00021691824	1.5401395e-06	4.5003208e-07	0.6931474	30049	1081764
1009.5283465385437	36	16.932089	14.994759	55.199608	-32.526897	151.0	0.0	0.11213306	0.11213306	0.11212625	0.11212625	-0.6931517	0.003196042	7.5589605e-06	5.2161926e-07	0.69315255	30049	1111813
1035.7018308639526	37	23.50914	13.635508	62.99572	-25.283003	151.0	0.0	0.15568969	0.15568969	0.15568984	0.15568984	-0.6931454	7.1366296e-05	1.0289887e-06	4.1374062e-07	0.6931454	30049	1141862
