Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
90.76261949539185	0	-161.9784322563897	-8.72719427283917	62.29518219649306	-39.45487290092763	-429.9928157468154	20.0	0.0	1020	10020	-163.50233789348766	-8.822824837062857
180.08179330825806	1	-173.3888314025816	-9.380669055246326	66.14368221508111	-39.209492738789805	-343.29268452945956	20.0	0.0	1020	20040	-193.81261745468368	-10.333964589407763
268.7023937702179	2	-160.34117341349392	-8.569314435309705	64.87855588078092	-34.71686199305617	-333.32409654119635	20.0	0.0	1020	30060	-173.48455476144798	-9.04535516905284
357.29830384254456	3	-169.09501112846095	-8.81229663056453	62.99600635670054	-34.5596105356247	-325.6285127349582	20.0	0.0	1020	40080	-161.26972272732752	-8.449978858229576
445.14471340179443	4	-166.47803933918848	-8.871327835757752	63.731045565644784	-38.84521366400966	-345.25365877184436	20.0	0.0	1020	50100	-177.49052660897866	-9.124689007174496
533.0374791622162	5	-157.9974242308885	-8.248911335097471	60.30158855873726	-7.300448648956997	-368.2602550959077	19.96716417910448	0.6000965244999037	1020	60120	-176.33402221928796	-9.42638342972258
621.3894424438477	6	-167.3493849168638	-8.75058714817669	67.2289146576417	-30.31973353560957	-364.7272098212218	20.0	0.0	1020	70140	-165.29767968843467	-8.331854498899087
710.127188205719	7	-153.88348494520383	-7.764459179671399	58.83121416449688	-33.43945553668689	-334.77627724600603	20.0	0.0	1020	80160	-176.74136453227803	-8.877875839462149
798.4532747268677	8	-155.86653203288844	-7.880906683990565	66.22481245710786	-35.98498266151099	-341.40828712398144	20.0	0.0	1020	90180	-152.16115587784265	-7.546670161193625
888.657484292984	9	-157.41285248088977	-7.8900976610434554	66.48312583992023	-27.3433882257294	-357.4691450720813	20.0	0.0	1020	100200	-160.65258848248664	-7.288422026857771
975.4350736141205	10	-149.307421528793	-7.452189201892742	67.02879014810149	-30.302158469052433	-346.3374947422182	20.0	0.0	1020	110220	-158.17469765272546	-7.52914148590889
