,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-172.1844889512302,36.0326807678117,-242.89169411202238,-124.73486358074027,,
1,0,22.888330075838788,28.0424186862422,-27.698628136731557,63.65929649503702,1.0478612184524536,0.028818093240261078
2,1,177.8143175814484,40.17483365929256,90.00322554099796,217.43766622540483,0.040906183421611786,0.024154869839549065
3,2,191.6634634002959,47.03000196447794,134.52460503916154,284.7163395555517,0.030336547642946243,0.015690017491579056
4,3,262.6415577693054,29.789755026719714,196.45418079231433,291.64991450961986,0.019653191789984703,0.017982201650738716
5,4,329.64145003055467,26.21699434825828,270.7047206615241,367.2359465147271,0.015967518091201782,0.013052807189524174
6,5,299.3375796510273,29.500983481774664,248.1148649194132,355.1699486776518,0.011983511969447136,0.013753311708569527
7,6,346.29331248991423,40.39789165424221,276.5250628001629,428.89474949463175,0.010659419000148773,0.009725733660161495
8,7,358.3286532216864,64.36317019035506,268.56240587451555,473.88350730682447,0.009586237370967865,0.011647319421172142
9,8,411.2064460511876,55.511984450879,330.62631253914896,487.41283666236666,0.01136107463389635,0.008385210298001766
10,9,387.25063572089186,48.68780992338286,319.03914613678967,455.4570905329747,0.007708361838012934,0.005999227985739708
11,10,392.2744124079617,48.27299229479655,305.94370415206276,467.4755179299291,0.00677390256896615,0.005421586334705353
