Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
189	1364.6161043643951	1000	191000	518.0346865184189	-39.719105385748875	500	191000
190	1372.3864963054657	1000	192000	518.0346865184189	-2930.4263998794604	501	192000
191	1380.275762796402	1000	193000	518.0346865184189	-2921.852414048411	502	193000
192	1388.2172365188599	1000	194000	518.0346865184189	-2951.887434697043	503	194000
193	1395.9315803050995	1000	195000	518.0346865184189	-2906.545259393423	504	195000
194	1403.4163794517517	1000	196000	518.0346865184189	-2938.436580037027	505	196000
195	1410.9583921432495	1000	197000	518.0346865184189	-2902.0876531896065	506	197000
196	1418.5720789432526	1000	198000	518.0346865184189	-2941.269208949513	507	198000
197	1426.3039681911469	1000	199000	518.0346865184189	-2948.556464154037	508	199000
198	1434.1240804195404	1000	200000	518.0346865184189	-2927.2112840635987	509	200000
199	1442.103633403778	1000	201000	518.0346865184189	-2935.2167723713437	510	201000
200	1548.4435527324677	1000	202000	518.0346865184189	-114.11334517779478	512	202000
201	1555.7562005519867	1000	203000	518.0346865184189	-2941.1321069046544	513	203000
202	1563.0744218826294	1000	204000	518.0346865184189	-927.3584507596522	515	204000
203	1570.3831586837769	1000	205000	518.0346865184189	-2923.2875032691295	516	205000
204	1577.6883416175842	1000	206000	518.0346865184189	-224.19657120433482	519	206000
205	1585.0070161819458	1000	207000	518.0346865184189	-23.75363586470647	522	207000
206	1592.3086876869202	1000	208000	518.0346865184189	-93.8411316290999	527	208000
207	1599.4161603450775	1000	209000	518.0346865184189	-186.24150924595156	534	209000
208	1606.355625629425	1000	210000	518.0346865184189	-2924.0785571652646	535	210000
209	1613.302442073822	1000	211000	518.0346865184189	-1668.0580567201873	536	211000
210	1620.2332367897034	1000	212000	518.0346865184189	-112.59392926186285	538	212000
211	1627.168909072876	1000	213000	518.0346865184189	-199.7405767772976	542	213000
212	1634.124285697937	1000	214000	518.0346865184189	-2966.7692331524504	543	214000
213	1641.0768177509308	1000	215000	518.0346865184189	-2997.7978165603968	544	215000
214	1647.985015630722	1000	216000	518.0346865184189	-40.5856759838321	548	216000
215	1654.6301655769348	1000	217000	518.0346865184189	-104.75280565704445	551	217000
216	1661.29909324646	1000	218000	518.0346865184189	-41.99294653649204	556	218000
217	1667.939544916153	1000	219000	518.0346865184189	-230.7916742973622	561	219000
218	1674.5923910140991	1000	220000	518.0346865184189	-155.48454194145341	570	220000
