Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
5.940485715866089	0	-163.738521606382	-8.967396492408573	62.363666658213695	-39.01210889206428	-315.075425533488	20.0	0.0	1040	10040	-150.73318791134162	-9.11463789730741
11.461066722869873	1	-162.35254605827757	-8.889535097663614	65.31784393303226	-33.91921401159521	-326.9440264690962	20.0	0.0	1040	20080	-154.88061806157737	-9.210560821813477
16.366169929504395	2	-165.5739666953892	-8.704938888795466	61.9326008041937	-41.838208305682585	-333.32253985777436	20.0	0.0	1040	30120	-167.09626356275413	-8.779755141721413
21.299362421035767	3	-168.14416613780108	-8.8891265795375	67.04581091155698	-36.737179418028006	-347.6921058521726	20.0	0.0	1040	40160	-154.4792338977901	-7.6169736526254885
25.982574224472046	4	-158.88439766767343	-8.182912385744451	65.71778626029598	-21.17978695481162	-350.69172453531496	20.0	0.0	1040	50200	-162.39885556578923	-8.338819619515764
30.55295181274414	5	-166.63140743715527	-8.642396768221348	65.86153736156305	-29.939011663883278	-338.1493835504463	20.0	0.0	1040	60240	-171.20392369552457	-8.223389730919443
35.74737000465393	6	-166.3419316976274	-8.474166786658502	66.37126613063474	-28.32116654803768	-349.8254711672795	20.0	0.0	1040	70280	-170.68355576394637	-8.676076963701199
40.50747203826904	7	-163.5420631730037	-8.43945398682357	69.96456672219637	-30.176797457252768	-337.65804542438457	20.0	0.0	1040	80320	-160.97058631705963	-8.18339371660608
45.32597470283508	8	-156.0327916728626	-7.958672149885337	65.21544400746114	-25.40356041325841	-357.48155583718346	20.0	0.0	1040	90360	-159.81003918174252	-8.43494978203744
50.0742449760437	9	-164.26591032805703	-8.485571083530582	65.88236638218125	-24.900810137111346	-326.4741243288041	20.0	0.0	1040	100400	-162.4221183506806	-8.676181070082443
55.42088174819946	10	-157.2581678041531	-7.932684307938603	66.12967939556623	-26.275041980415182	-344.0270155769756	20.0	0.0	1040	110440	-147.2604554636433	-7.794864223218364
60.13475561141968	11	-160.1032278633848	-8.257188374097835	69.2261952924058	-27.91215103737496	-350.027291962894	20.0	0.0	1040	120480	-157.17335361703653	-7.257021003197872
64.62727904319763	12	-153.41595962629006	-7.877258062972909	65.57450560851267	-30.187832822229417	-371.35349786915697	20.0	0.0	1040	130520	-146.16380112525036	-7.526612138667654
69.73108649253845	13	-153.56534166739718	-7.6966271593919	72.8188643438705	-24.952702407710397	-363.81563958368895	20.0	0.0	1040	140560	-152.30436454002637	-7.196778005353337
74.17928504943848	14	-147.99402506565545	-7.538067376262179	64.4885996036782	-28.20240761425811	-326.96715649393724	20.0	0.0	1040	150600	-172.2572735641374	-9.266571777434981
79.07639575004578	15	-160.42257811131148	-8.154698028737592	65.19164905201586	-24.194734477511275	-367.37774027822167	20.0	0.0	1040	160640	-136.57675352128243	-6.757338055805003
83.98681354522705	16	-157.94933883261444	-7.707211567835008	68.25511010952557	-24.487059918064087	-322.40028583838	20.0	0.0	1040	170680	-163.21945434029487	-8.793441713088805
88.65830254554749	17	-154.74026641848099	-7.733101567134466	66.64504297225564	-26.107329956135267	-360.48346065050856	20.0	0.0	1040	180720	-142.96514310909043	-7.149353804052363
93.83477568626404	18	-157.88626331457814	-7.985140002380125	62.9872560717477	-20.97559954051392	-333.6035216110931	20.0	0.0	1040	190760	-162.22149278350437	-7.527853330016157
98.37274527549744	19	-155.1921632849771	-7.85739347809828	67.05366977018004	-18.024275765131264	-340.9085038401832	20.0	0.0	1040	200800	-156.84681930659096	-8.10088473486437
103.31068348884583	20	-158.03479830410066	-7.792725236519466	69.29495067931326	-16.751042232271214	-374.9124707924437	20.0	0.0	1040	210840	-145.34200144267407	-7.373225334374466
108.0619809627533	21	-149.65324746851016	-7.400638460191078	69.25392538199598	-12.449550756497231	-379.86185554334253	20.0	0.0	1040	220880	-133.88528859617628	-6.298279394843844
112.66660189628601	22	-149.3317666623189	-7.419878933862999	70.49598618260833	-17.989722006451743	-357.8042149709436	20.0	0.0	1040	230920	-157.1088033357019	-8.102427528240833
117.03710651397705	23	-150.76271390736602	-7.311274798013764	76.20144996980822	-16.783720288528812	-505.3314434940342	20.0	0.0	1040	240960	-153.59994375840807	-7.2071199073943015
122.08141374588013	24	-148.82828371583597	-7.180511105904029	64.88274923717906	-17.101033956015034	-377.91172791289057	20.0	0.0	1040	251000	-156.6445428047426	-8.482191585581738
127.1715075969696	25	-147.40166614059024	-7.2286818251031315	68.56550240550298	-14.74970572651387	-346.8163980378826	20.0	0.0	1040	261040	-144.6692954126396	-6.832436952471567
131.86470937728882	26	-159.39579810612432	-7.893491280929732	79.85970541336468	-15.949127350007377	-444.8216525120579	20.0	0.0	1040	271080	-151.65605405333307	-7.265100898456186
136.58099150657654	27	-155.8041571014842	-7.544771949720792	71.45852462233378	-19.675506450996835	-489.9205444813109	20.0	0.0	1040	281120	-138.03903765516165	-6.29833037928804
